Transaction_ID,Book_ID,Book_Title,Category,Author,Member_ID,Member_Type,Borrow_Date,Due_Date,Return_Date,Status,Fine_Amount
TRX-1001,BK-106,Operating System Principles,Networks,A. Tanenbaum,MEM-207,Faculty,2025-04-13,2025-04-27,2025-04-25,Returned On Time,0.0
TRX-1002,BK-103,Machine Learning Yearning,Software Engineering,E. Gamma,MEM-201,Staff,2025-10-21,2025-11-04,2025-10-31,Returned On Time,0.0
TRX-1003,BK-111,Computer Networking,Computer Science,A. Tanenbaum,MEM-241,Student,2025-07-07,2025-07-21,2025-07-19,Returned On Time,0.0
TRX-1004,BK-118,Deep Learning with Python,AI & ML,S. Russell,MEM-202,General,2025-05-15,2025-05-29,2025-05-25,Returned On Time,0.0
TRX-1005,BK-113,Advanced Data Science,Data Science,S. Russell,MEM-225,Student,2025-04-02,2025-04-16,2025-04-14,Returned On Time,0.0
TRX-1006,BK-114,Database System Concepts,Computer Science,M. Fowler,MEM-249,Faculty,2025-01-02,2025-01-16,2025-01-14,Returned On Time,0.0
TRX-1007,BK-117,Design Patterns,AI & ML,A. Silberschatz,MEM-209,General,2025-09-27,2025-10-11,2025-10-11,Returned On Time,0.0
TRX-1008,BK-107,Clean Code,Networks,A. Silberschatz,MEM-246,Staff,2025-08-05,2025-08-19,2025-08-15,Returned On Time,0.0
TRX-1009,BK-114,Introduction to Python,Computer Science,S. Russell,MEM-223,Student,2025-05-16,2025-05-30,2025-05-26,Returned On Time,0.0
TRX-1010,BK-102,Database System Concepts,Computer Science,A. Tanenbaum,MEM-204,General,2025-02-10,2025-02-24,2025-03-07,Returned Late,27.5
TRX-1011,BK-100,Data Structures and Algorithms,Networks,A. Tanenbaum,MEM-243,Faculty,2025-02-04,2025-02-18,2025-02-16,Returned On Time,0.0
TRX-1012,BK-100,Clean Code,,E. Gamma,MEM-238,Student,2025-07-26,2025-08-09,2025-08-07,Returned On Time,0.0
TRX-1013,BK-106,Introduction to Python,AI & ML,G. van Rossum,MEM-231,Faculty,2025-08-19,2025-09-02,2025-08-31,Returned On Time,0.0
TRX-1014,BK-106,The Pragmatic Programmer,Software Engineering,E. Gamma,MEM-227,General,2025-02-14,2025-02-28,2025-02-24,Returned On Time,0.0
TRX-1015,BK-111,Deep Learning with Python,AI & ML,E. Gamma,MEM-210,Student,2025-08-19,2025-09-02,2025-09-13,Returned Late,27.5
TRX-1016,BK-119,Computer Networking,Software Engineering,E. Gamma,MEM-207,Faculty,2025-06-14,2025-06-28,2025-06-28,Returned On Time,0.0
TRX-1017,BK-108,Operating System Principles,Computer Science,E. Gamma,MEM-248,Student,2025-09-25,2025-10-09,2025-10-05,Returned On Time,0.0
TRX-1018,BK-116,Machine Learning Yearning,Computer Science,A. Tanenbaum,MEM-248,General,2025-08-08,2025-08-22,2025-08-18,Returned On Time,0.0
TRX-1019,BK-118,Advanced Data Science,Networks,M. Fowler,MEM-225,General,2025-09-04,2025-09-18,2025-09-18,Returned On Time,0.0
TRX-1020,BK-105,Machine Learning Yearning,Networks,M. Fowler,MEM-233,Faculty,2025-08-28,2025-09-11,2025-09-11,Returned On Time,0.0
TRX-1021,BK-115,Database System Concepts,AI & ML,M. Fowler,MEM-235,Student,2025-05-27,2025-06-10,2025-06-08,Returned On Time,0.0
TRX-1022,BK-107,Data Structures and Algorithms,Data Science,S. Russell,MEM-210,Student,2025-05-31,2025-06-14,2025-06-12,Returned On Time,0.0
TRX-1023,BK-115,Design Patterns,Computer Science,M. Fowler,MEM-248,Student,2025-09-11,2025-09-25,2025-09-29,Returned Late,10.0
TRX-1024,BK-108,Computer Networking,Software Engineering,A. Tanenbaum,MEM-247,Staff,2025-06-01,2025-06-15,2025-06-13,Returned On Time,0.0
TRX-1025,BK-116,Machine Learning Yearning,AI & ML,E. Gamma,MEM-239,Faculty,2025-08-15,2025-08-29,2025-08-27,Returned On Time,0.0
